project,title,date,is_feature,is_fix,is_refactor,is_config
bank-integration,Delete field platformId in start-transaction request model.,2025-11-17 17:45:00+03:00,False,False,False,False
bank-integration,change certificates,2025-11-04 16:48:02+03:00,False,False,True,True
bank-integration,gitignore change,2025-11-04 16:45:09+03:00,False,False,True,False
bank-integration,prod-certificate-fix add new certificate,2025-11-04 15:55:46+03:00,False,True,False,True
bank-integration,Add referenceId,2025-10-24 11:27:13+03:00,True,False,False,False
bank-integration,Add credit prod certificate and env. defination.,2025-10-23 13:42:47+03:00,True,False,False,True
bank-integration,Merge branch 'TSB-625-env' into 'main',2025-10-10 16:46:04+03:00,False,False,False,True
bank-integration,Fix.,2025-10-10 16:37:24+03:00,False,True,False,False
bank-integration,add card getCreditCardInfo endpoint env.,2025-10-10 15:23:00+03:00,True,False,False,True
bank-integration,Fix .,2025-10-10 14:21:32+03:00,False,True,False,False
bank-integration,Merge branch 'main' into 'TSB-625',2025-10-10 14:09:21+03:00,False,False,False,False
bank-integration,Add card prod certificates,2025-10-10 13:26:32+03:00,True,False,False,True
bank-integration,add appsettings.stage.json,2025-09-17 11:31:34+03:00,True,False,False,False
bank-integration,fix trace-id,2025-09-15 15:37:14+03:00,False,True,False,False
bank-integration,trace-id eklenmesi,2025-09-15 15:18:31+03:00,False,False,False,False
bank-integration,Add StartTransactionRequest productId key,2025-08-29 16:53:18+03:00,True,False,False,False
bank-integration,Add new endpoint (get product-list) and change payment-plan,2025-08-28 17:36:29+03:00,True,False,False,False
odeal-gateway,Add fatura-stg in orgins,2025-12-24 12:45:34+03:00,True,False,False,False
odeal-gateway,"Remove ""*"" defination in orgins.",2025-12-22 15:35:20+03:00,False,False,False,False
odeal-gateway,Add https://portal.odeal.com endpoint for config.orgins,2025-11-03 15:36:31+03:00,True,False,False,True
odeal-gateway,add erebor-endpoints,2025-10-31 10:47:47+03:00,True,False,False,False
odeal-gateway,Fix,2025-10-31 08:14:46+03:00,False,True,False,False
odeal-gateway,Add erebor endpoints.,2025-10-30 14:23:10+03:00,True,False,False,False
odeal-gateway,Add retail endpoints.,2025-10-01 17:00:33+03:00,True,False,False,False
credit-manager,fix IsNewCustomer Fix.,2025-12-11 09:40:05+03:00,False,True,False,False
credit-manager,Add log information for producer and change approved status.,2025-12-10 17:58:38+03:00,True,False,False,False
credit-manager,refactor,2025-12-01 10:56:13+03:00,False,False,True,False
credit-manager,Add new endpoint for update isApprovedFlag to false. Fronted need it.,2025-11-20 11:01:54+03:00,True,False,False,False
credit-manager,Remove platformId field in start transaction request model.,2025-11-17 14:56:32+03:00,False,False,False,False
credit-manager,Change appsettings files.,2025-11-14 13:24:45+03:00,False,False,True,False
credit-manager,Add terminated status endpoint.,2025-11-10 15:53:04+03:00,True,False,False,False
